Intro,Hello,hello I am Ishan from aryantech motors we noticed you were looking for some cars on our website .Are you interested in purchasing a new car at this moment?
confirmation,"Yes, I'm interested in looking at some of your newer car models","I'd be happy to help. Do you have a specific features in mind, or are you open to suggestions?"
Brand model,I am looking for something fuel-efficient with advanced safety features.,"If you're looking for fuel efficiency.We have a few in stock. In addition to that, given your interest in safety.We'll get you booked in for test drive. May I have your name and contact no  to confirm the appointment?"
Safety features,Could you tell me more about its safety features?,"Our cars are equipped with multiple airbags, anti-lock braking systems (ABS), electronic brake distribution (EBD), hill-start assist, and a rearview camera as standard. Advanced models also feature adaptive cruise control, lane departure warning, and automatic emergency braking. Safety is our top priority. Would you like information on specific safety features?"
Fuel efficiency,Sounds impressive. What about its fuel efficiency?,"It averages about 32 mpg in the city and 40 mpg on the highway, making it one of the top in its class."
eco freindly,Are your cars eco-friendly?,"Absolutely! We have models with hybrid and electric options that are designed to reduce carbon emissions. Our engines are also built to meet the latest emission standards. If you're environmentally conscious, we can suggest some models that might suit your needs."
brand model,I am looking for fuel efficient,"If you're looking for fuel efficiency.We have a few in stock. In addition to that, given your interest in safety.We'll get you booked in for test drive. "
Book demo,I'd like to book a demo for a test drive.,Great choice! We'd be happy to arrange a test drive for you.Certainly! We have slots available on both Saturday and Sunday. Which day would be most convenient for you?
confirmtion,How about this Saturday around 3 PM?,"Thank you, I have noted your details and booked a test drive for you on Saturday at 3 PM. May I have your name and contact no to confirm the appointment?
"
contact details ,My name is John smith and my contact no is 9898989898,"Thank you, Mr. Smith.We've scheduled you for a test drive."
Thank you ,Thank you,Have a great day!
Thank you ,"Will do, Thanks for the information. I'll see you on Saturday.","You're welcome, Sir. We look forward to meeting you. Have a great day!"
confirmation,"Yes, I am interested","I'd be happy to help. Do you have a specific features in mind, or are you open to suggestions?"
book demo,I  like to book a demo,Great choice! We'd be happy to arrange a test drive for you.Certainly! We have slots available on both Saturday and Sunday. Which day would be most convenient for you?
test drive,I  like to book a test drive,Great choice! We'd be happy to arrange a test drive for you.Certainly! We have slots available on both Saturday and Sunday. Which day would be most convenient for you?
confirmation,How about this sunday around 3 pm,"Thank you, I have noted your details and booked a test drive for you on Sunday at 3 PM. May I have your name and contact no to confirm the appointment?
"
contact details ,My name is John smith and my contact no is 9898989898,"Thank you, Mr. Smith.We've scheduled you for a test drive."
confirmation,"Yeah, sounds good.When do you have available slots?",We have availability tomorrow afternoon or Saturday and Sunday morning. Which works best for you?
confirmation,Sunday morning would be perfect. How about 10 a.m.?,"Thank you, I have noted your details and booked a test drive for you on Saturday at 3 PM. May I have your name and contact no to confirm the appointment?
"
contact details ,My name is John smith and my contact no is 9898989898,"Thank you, Mr. Smith.We've scheduled you for a test drive."
Thank you ,Thanks for the assistance. See you then.,Thank You so much! See you soon.
safety features,Tell me about safety features,"Our cars are equipped with multiple airbags, anti-lock braking systems (ABS), electronic brake distribution (EBD), hill-start assist, and a rearview camera as standard. Advanced models also feature adaptive cruise control, lane departure warning, and automatic emergency braking. Safety is our top priority. Would you like information on specific safety features?"
