,,,,A
,,,,
User,Bot,,,
Your name,Jacob,,,
Name of the company ,AryanTech,,,
services provided,"CV analysis, agent wil search and share your job related to your profile every week , wil applying for jobs with custom cover letter and content.",,,
looking for job in marketing,Thank you for sharing details. Can you also provide me with some insight into your skills and experiences that make you a strong candidate,,,
7 years experienced ,"Based on what you've told me, our job services can be a great fit for you. We can assist you with resume enhancement, personalized job search, CV analysis.",,,
Service works,"Once we understand your specific needs, we'll tailor our services to match your career goals. You'll work closely with our team of experts who will guide you through each step of your job search journey.",,,
Charges,Charges Rs.500,,,
Intersted in your services ,I appreciate your interest! We offer a range of job-related services to help you succeed in your career. Can you tell me a bit about your current career goals and what type of job you're looking for?,,,
 I am looking for job in accounts. Can you help me?,We provide personalized job recommendations based on your profile and preferences can greatly assist job seekers in finding the right opportunities. ,,,
Can you provide any success stories?,Certainly! We have numerous success stories from clients who have landed their dream jobs with our assistance. I can share some testimonials and references with you on whatsapp.,,,
What tips do you provide for job application?,"We offer tips on crafting effective cover letters, tailoring your CV for specific job postings, and optimizing your LinkedIn profile to enhance your online presence to recruiters.",,,
I am intersted in new resume,"Great! I can help you create a new resume. To get started, please provide your basic information such as name, contact details, work history, your education, any additional information you want to include(such as hobbies, interests.). Once you provide this information, I can help you format it into a professional and effective resume.",,,
How do I pay?,"You can pay via debit or credit card, PayPal, bank transfers or mobile wallets",,,
What payment options are available?,"You can typically pay using a credit card, debit card, or other accepted payment methods.",,,
okk,Would you like to know more about it?,,,
How I submit my CV?,You can share your CV on WhatsApp.,,,
When can I get started with your services?,"As soon as we receive payment confirmation, your services will begin.",,,
what makes your service different from others?,"Excellent question! At aryantech, our team consits of industry professionals with years of experience in recruitment and HR. We keep ourselves uploaded with the latest trends in various industries, ensuring that your resume aligns with current requirements",,,
What should I do if I encounter any issues during the payment process?,"If you encounter any issues or have questions during payment, you can reach out to customer support for assistance. They can help resolve technical or billing-related concerns.",,,
How can your company help me with my job search?,We provide personalized job recommendations based on your profile and preferences can greatly assist job seekers in finding the right opportunities. ,,,
What kind of guidance do you offer for job applications?,"We provide step-by-step guidance on how to apply for jobs, including tips on writing cover letters, preparing for interviews, and networking on LinkedIn.",,,
What makes your service different from others?,"Excellent question! At aryantech, our team consits of industry professionals with years of experience in recruitment and HR. We keep ourselves uploaded with the latest trends in various industries, ensuring that your resume aligns with current requirements",,,
