Context,Query,Response
Intro,Hello,hello I am Ishan from aryantech motors we noticed you were looking for some cars on our website .Are you interested in purchasing a new car at this moment?
"Customization,",What makes your car different from others?,"Our cars come with advanced safety features, a powerful engine, and top-tier fuel efficiency. Additionally, every purchase guarantees a service voucher for the first year. No other brand offers this. Would you like a test drive?"
Discounts,Do you offer any discount?,"Currently, there's a 10% discount on the new model for early birds. This includes complimentary accessories. Interested in availing this offer?"
Client testimonials,Any customer reviews on the new model?,Definitely! We've received positive feedback from many satisfied customers. I can share some testimonials and even connect you with a few for firsthand feedback. Would that be helpful?
Warranty guarantee,sounds impressive. What about its fuel efficiency?,"Yes, our cars come with a 3-year warranty or up to 100,000 km, whichever comes first. You're assured of quality and performance. Sounds good?"
Payment Options,How do I pay?,"You can pay via debit or credit card, bank transfers, or avail our financing options. What's your preference?"
Service Begin,When can I receive the car after purchase?,"Once all the paperwork is completed and payment confirmed, your car will be delivered within a week. Would you like assistance with the paperwork?"
Car Specs,Can you detail the car's specifications?,"Certainly. Our cars are equipped with modern technology, such as adaptive cruise control, lane-keeping assist, and more. Want to see a brochure?"
Test Drives,Can I take it for a test drive?,Of course! We can schedule a test drive at a time convenient for you. Would you prefer weekdays or weekends?
Financing Options,Do you have financing options?,Absolutely! We have tie-ups with several banks and offer competitive interest rates. Want to discuss the details?
Automobile Sector Journey,How long have you been in the automobile industry?,"We've proudly been in the automobile sector for over 10 years, ensuring quality and innovation. A decade has enriched our understanding of customer needs. Ready to be a part of our family?"
Latest Model Updates,How do you decide on the features for the latest models?,"Our team conducts market research, attends global auto expos, and gathers customer feedback to stay updated with trends. This ensures we deliver cars that resonate with modern-day needs. Interested in our newest innovations?"
Client Feedback,How do you handle customer feedback?,Customer feedback is invaluable. We use it to refine our models and services continuously. We always aim for your satisfaction and believe in a two-way communication channel. Any suggestions for us?
Subscription,Is there any maintenance subscription?,"Yes, we offer maintenance packages, which can be monthly or annually. These packages ensure your car remains in prime condition. Interested in learning more about them?"
Maintenance Details,What is covered in the maintenance subscription?,"The maintenance subscription covers routine servicing, oil changes, air filter replacements, and general inspections to ensure your car's optimum performance. We also offer priority bookings for subscribers at our service centers. Do you want more details about the services covered?"
Exchange Offer,Do you have any exchange offers?,"Yes, we do have exchange offers where you can trade in your old vehicle for a new model. We provide a fair valuation for your old car, which will be adjusted against the price of the new one. Would you like to explore this option?"
Safety Features,Tell me more about the safety features?,"Our cars are equipped with multiple airbags, anti-lock braking systems (ABS), electronic brake distribution (EBD), hill-start assist, and a rearview camera as standard. Advanced models also feature adaptive cruise control, lane departure warning, and automatic emergency braking. Safety is our top priority. Would you like information on a specific safety features?"
Environment Friendly,Are your cars eco-friendly?,"Absolutely! We have models with hybrid and electric options that are designed to reduce carbon emissions. Our engines are also built to meet the latest emission standards. If you're environmentally conscious, we can suggest some models that might suit your needs."
Test Drive Booking,"How do I book a test drive?,","You can book a test drive either through our website, over the phone, or by visiting one of our showrooms. We recommend booking in advance to ensure the availability of your preferred model. Would you like me to assist you with a booking?"
Insurance Options,Do you provide insurance for the cars?,"Yes, we have tie-ups with leading insurance providers. When you purchase a car, we can guide you through the insurance process, ensuring you get the best coverage at competitive rates. Would you like to discuss insurance options?"
Return Policy,What if I'm not satisfied with the car after purchase?,"We strive for 100% customer satisfaction. If you face any issues, we have a 15-day return policy. You can either exchange it for another model or get a refund after deducting a nominal restocking fee. We want to make sure you're happy with your purchase. Are there specific concerns you have in mind?"
Child Safety,How are your cars equipped for child safety?,"Our vehicles come with ISOFIX child seat mounts as standard, ensuring that child seats can be securely and easily installed. Additionally, many of our models feature child safety locks and window locks to enhance the safety of younger passengers. Is child safety a primary concern for you?"
Trade-in Value,How do you determine the value of a trade-in vehicle?,"We have a team of experts who evaluate trade-in vehicles based on their age, mileage, maintenance history, and overall condition. After a thorough inspection, we provide a fair market value for the vehicle. If you have a vehicle in mind, we can schedule an assessment."
Fuel Efficiency,Can you provide information about the fuel efficiency of your cars?,"Certainly! Our cars are designed with fuel efficiency in mind. On average, our compact models offer around 20-25 km/l, while our SUVs range from 15-20 km/l. However, the exact figures can vary based on the specific model and driving conditions. Do you have a particular model in mind?"
Customization,Are there customization options available for the cars?,"Yes, we offer a range of customization options, including exterior paint choices, interior upholstery selections, and add-on packages such as enhanced infotainment systems or sport packages. This allows you to make the car truly your own. Interested in exploring the customization options?"
Extended Warranty,Do you offer an extended warranty?,"Yes, we do offer an extended warranty option that covers your vehicle beyond the standard warranty period. This provides additional peace of mind, ensuring that most repairs and replacements are covered for a longer time. Would you like details on the terms and costs?"
Resale Value,How do your cars fare in terms of resale value?,"Our vehicles are known for their robust build quality and longevity, which contributes to good resale value. Historically, our models have retained about 60-70% of their value after three years, which is among the best in the industry. Are you planning for long-term ownership?"
Driving Classes,Do you provide driving classes for first-time car owners?,"Yes, for those new to driving or those who'd like a refresher, we have partnered with driving schools to offer lessons at a discounted rate for our customers. This ensures you're comfortable and confident on the road with your new car. Would you be interested in this service?"
Intro,Hello,hello I am Ishan from aryantech motors we noticed you were looking for some cars on our website .Are you interested in purchasing a new car at this moment?
confirmation,"Yes, I'm interested in looking at some of your newer car models","I'd be happy to help. Do you have a specific features in mind, or are you open to suggestions?"
Brand model,I am looking for something fuel-efficient with advanced safety features.,"If you're looking for fuel efficiency.We have a few in stock. In addition to that, given your interest in safety. It's been rated highly for its safety features this year."
