Context,Query,Response
Intro,Hello,"Good morning, Sir. I'm calling from JMV Motors regarding our newly launched car. 
Are you interested in purchasing a new car at the moment?"
Intrerest Confirmation,"Yes, I was quite intrigued by some of the models. Especially the new hybrid one you've launched.","That's great to hear! The hybrid model has been garnering a lot of interest.
Would you like to book an appointment to visit our showroom and take a closer look or perhaps even a test drive?"
Varients,What are the different variants available in XUV 700?,"The XUV700 is offered in 6 variants namely AX3, AX5, AX7,  AX5 AT, AX7 AT, AX7 Diesel AT Luxury Pack AWD. From budget-friendly options to feature-packed variants, the XUV700 offers a model for every kind of SUV enthusiast.
Which one sparks your interest?"
Fuel Version,What are the different fuel version available in XUV 700?,"The car is available in both Diesel and Petrol versions. Many choose diesel for its torque and long-term efficiency, while others prefer petrol for its smoothness and initial cost savings. 
I'd like to hear, What matters most to you so we can find the best fit?"
Pricing of Car,What are the pricing of the different varients?,"The Mahindra XUV700 starts with the AX3 variant priced at Rs. 15.10 Lakh. On the higher end, we have the XUV700 AX7 Diesel AT Luxury Pack AWD at Rs. 26.50 Lakh. The price difference corresponds to the distinct features of each variant. 
Would you like guidance on the features most relevant to your needs?"
Discount,What are the discount availabe on the car?,"Offers and discounts can vary based on the brand, dealership, and your city. We recommend visiting our dealership for the most accurate information. We're committed to providing our customers with the best deals, and an in-person visit ensures you get a full understanding of our current promotions. 
May I arrange an appointment for you?"
 Features,What are the basic features of the car?,"The Mahindra XUV700 offers both a Diesel and a Petrol engine option. The Diesel engine capacity is 2198 cc, while the Petrol engine is 1999 cc. It comes with both Manual and Automatic transmission options. The XUV700 is a 7-seater car featuring 4 cylinders, and its dimensions are as follows: length - 4695mm, width - 1890mm, and a wheelbase of 2750mm.Are there any specific features that stand out to you as particularly important for your needs?"
Payment Options,How do I pay?,"You can pay via cheque, cash, bank transfer, or opt for an EMI loan from our associated banks. 
Which payment method would you prefer?"
Service Cost,What is the service cost of the car?,"Absolutely, the first two services for the car are complimentary from our side. Subsequent services typically range between Rs 3,000 and Rs 4,000. We also have service packages available that can offer significant savings over time. And to guarantee transparency, after each service, we'll provide you with a detailed breakdown of the charges.
Would you like more information about our service packages?"
Mileage of Car,What is the Mileage of your car?,"The Mahindra XUV700 delivers 15.0 kmpl in city driving and 17.0 kmpl on the highway. However, these figures can vary based on the fuel variant. The XUV700 also comes with various driving modes that allow you to optimize performance and efficiency based on your preference. Apart from fuel efficiency, there are several advanced features in the XUV700 that enhance the driving experience. 
Would you like to learn more about them?"
Roadside Assistance,Do you provide roadside  assistance?,"In the event of a breakdown or accident of your Mahindra vehicle, simply call the Mahindra 24×7 Roadside Assistance on Toll Free Number 1800 102 7006. Having called the Mahindra Roadside Assistance, please ensure you or your representative stays with the vehicle at the breakdown location.Apart from breakdowns and accidents, the service also covers scenarios like flat tires, lock-outs, battery jump-starts, and more. 
Do you want information on the full range of services offered?"
Warranty,What is the warranty of the car provided by the company?,"The Mahindra XUV 700 comes with a standard warranty of 3 years or 120,000 kms, whichever comes first. However, customers can choose to extend the warranty for an additional 2 years at a cost of Rs 20,000. The warranty covers both mechanical and electrical components, ensuring you're protected against any manufacturer defects.
Would you like to add the extended warranty to your purchase?"
Colours,What are the different colors and shades available in car?,"Mahindra XUV700 is available in 5 different colours - Everest White, Dazzling Silver, Electric Blue, Red Rage and Midnight black. Each color has been chosen to complement the design and aesthetics of the XUV700, you can visit our showroom to see them in person and decide which one suits your style best. 
Do you have a preference among these options?"
Safety Features,What safety features does your company provide in the car?,"The XUV700 is relentlessly dedicated to your safety. Not only does it feature an intelligent system that auto-applies brakes if you don't respond in time, but it's also equipped with 7 airbags, Automatic Emergency Braking, Front Collision Warning, and Driver Drowsiness Detection. Furthermore, the ADAS (Advanced Driver Assistance Systems) includes both the Smart Pilot Assist and Lane Keep Assist. Add to this the Electronic Stability Program, and you have an SUV that's truly safety-forward. It's no surprise that the XUV700 achieved a commendable score of 16.03 out of 17 in adult occupant safety, earning a five-star rating. 
How do you feel about these features?"
Customer Review and Feedback,What are the customer reviews and feedback about the car?,"The XUV700 handles like a dream, offering a smooth and comfortable ride even on rough terrains. And let's not forget about the mileage! This SUV is surprisingly fuel-efficient, making it a practical choice for those who value both power and efficiency. The XUV 700 is a powerful and comfortable SUV with a well-designed interior and a host of modern features. Its responsive engine, smooth transmission, and excellent ride quality make it a joy to drive. It's clear that the XUV700 is a well-rounded package. 
How soon would you like to explore it in person, perhaps through a test drive?"
Car Specialisation,What is special about XUV700?,"An intelligent SUV with intelligent speed. Advanced driver assist system that adapts your speed to the vehicles around you. Blind them with your adventure, not your headlights. The XUV700 temporarily switches its headlights to low-beam, in case of oncoming traffic. The XUV700 is designed to offer a combination of luxury, comfort, and advanced technology features.
Are there specific features or technologies that are especially important to you in your choice of a vehicle?"
Key Features,What are the key features of car?,"Key features of the XUV700 are a Start-Stop push button, Digital Speedometer, MicroHybrid Technology, Personalized safety alerts, Curtain Airbags for all rows, Advanced Driver Assistance System(ADAS), Smart clean zone, Driver Drowsiness Detection, Continuous Digital video recording, Electronic park brake, 10.25-inch touchscreen infotainment system, a 10.25-inch digital instrument cluster, a six-way powered driver seat and up to 12 speakers. It also gets a panoramic sunroof, dual-zone climate control and built-in Alexa connectivity. It's an experience tailored for the discerning driver. 
What are your thoughts on these features?"
Insurance,What is the insurance cost of your car?,"Basically, IDV is the current market value of the vehicle. If the vehicle suffers total loss, IDV is the compensation that the insurer will provide to the policyholder. IDV is calculated as the manufacturer's listed selling price minus depreciation."
Insurance Premium,How you will calculate the premium of insurance of the car?,"There are many ways to calculate the insurance premium for a car. The most common way is to use the following formula: Premium = (Present Value of Future Benefits) / (1+Risk-Free Rate) Time. The premium of a car insurance plan depends on the coverage of the plan and other factors such as car's make, model, variant, fuel type, RTO location, etc. The premium for third party car insurance plans is fixed by the IRDAI and it depends only on the car's engine capacity. Do you have specific coverage requirements or preferences for your insurance plan? It will help us tailor the best insurance solution for you."
Interest,I'm interested in buying the car,"I'm sure you'll love the XUV700. Let's discuss the available finance options and any specific customizations you'd like. Additionally, if you haven't yet, we highly recommend taking it for a test drive to truly appreciate its features."
Intrerest Confirmation,"Good morning. Yes,  I've been thinking about upgrading my vehicle.","Excellent! Would you be interested in scheduling an appointment to visit our showroom? 
We can offer you a personalized tour, provide detailed information, and even set up a test drive."
Availability,"I would be, yes. What are your available times?","We have availability this weekend on either Saturday or Sunday afternoon, as well as weekday mornings next week. 
What would work best for you?"
Confirmation,How about Sunday afternoon? Does 2 PM work?,"2 PM on Sunday is perfect! I've booked you in for that time. May I have your name and email ID, please, so I can note it down?"
Contact Details,"Certainly, it's John Smith and my email ID is smith123@gmail.com.","Great, Mr. Smith. You're all set for Sunday at 2 PM. When you arrive, I'll be available there for take care of you."
